"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"CEN24LA015","ACC","193262","2023-10-17T14:30:00Z","Greeley","Colorado","United States","","N41DH","FALSE","DirectorBrief","2023-11-16T05:00:00Z","None","0","0","0","The pilot’s decision to turn out early during the initial climb and failure to maintain adequate airspeed/angle-of-attack, which resulted in an aerodynamic stall and impact with airport hangars. Contributing to the accident was the variable wind conditions above the hangars and the pilot’s lack of awareness of those conditions.","","40.424728","-104.63791","DEHAVILLAND","TIGER MOTH DH 82A","AIR","GXY","GREELEY-WELD COUNTY","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193262","11/16/2023 6:00:00 PM",
"CEN24LA012","ACC","193241","2023-10-15T09:00:00Z","Franksville","Wisconsin","United States","","N42VZ","FALSE","DirectorBrief","2024-05-14T04:00:00Z","None","0","0","0","The improper installation of the supplemental ignition system, which resulted in a total loss of engine power.","","42.811389","-88.094089","TVAP","4","AIR","62C","Cindy Guntly Memorial Airport","TRUE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193241","5/10/2024 5:00:00 PM",
"ERA24LA009","ACC","193248","2023-10-14T11:00:00Z","Myakka City","Florida","United States","","N87621","FALSE","DirectorBrief","2023-11-16T05:00:00Z","Minor","0","0","1","The pilot’s failure to maintain adequate clearance from a fence during takeoff.","","27.347915","-82.161585","MONOCOUPE","90AL-115","AIR","PVT","PVT","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193248","11/16/2023 6:00:00 PM",
"WPR24LA019","ACC","193293","2023-10-14T08:10:00Z","Albuquerque","New Mexico","United States","","N315RR","FALSE","DirectorBrief","2023-12-13T05:00:00Z","Serious","0","1","0","The pilot’s inability to maintain control of the balloon during landing due to unforecasted windshear and turbulent air.","","35.179931","-106.58996","CAMERON BALLOONS U S","A-315","BALL","","","FALSE","0","","BUS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193293","12/13/2023 6:00:00 PM",
"WPR24LA026","ACC","193341","2023-10-13T15:00:00Z","Fairfield","Utah","United States","","N866SA","FALSE","DirectorBrief","2024-06-06T04:00:00Z","None","0","0","0","The pilot’s failure to maintain airplane control during the landing, which resulted in a ground loop.","","40.243268","-112.09205","ZLIN AVIATION SRO","SAVAGE","AIR","UT9","WEST DESERT AIRPARK","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193341","6/6/2024 5:00:00 PM",
"WPR24LA017","ACC","193258","2023-10-13T11:48:00Z","Eastsound","Washington","United States","","N509Z","FALSE","DirectorBrief","2024-06-06T04:00:00Z","","0","0","0","The pilot's unstable approach and improper configuration of the flaps during a go-around which resulted in an aerodynamic stall and subsequent impact with terrain.","","48.708337","-122.91059","PIPER AIRCRAFT INC","PA 46-350P","AIR","ORS","ORCAS ISLAND","FALSE","1","","EXEC","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193258","6/6/2024 5:00:00 PM",
"CEN24LA016","ACC","193265","2023-10-13T09:00:00Z","Denton","Texas","United States","","N6605J","FALSE","DirectorBrief","2024-01-25T05:00:00Z","","0","0","0","The student pilot’s failure to maintain directional control while landing with a tailwind.","","33.2012","-97.1966","PIPER","PA-28-180","AIR","KDTO","Denton Enterprise Airport","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193265","1/25/2024 6:00:00 PM",
"WPR24LA016","ACC","193257","2023-10-12T14:40:00Z","Provo","Utah","United States","","N235PR","FALSE","DirectorBrief","2024-07-02T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing.","","40.219167","-111.72336","MAULE","M-7-235C","AIR","PVU","Provo Municipal Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193257","7/2/2024 5:00:00 PM",
"WPR24LA015","ACC","193256","2023-10-12T10:00:00Z","Mesa","Arizona","United States","","N4777V","FALSE","DirectorBrief","2024-01-10T05:00:00Z","None","0","0","0","The flight instructor’s failure to maintain directional control during the landing roll, which resulted in a ground loop.","","33.308655","-111.64969","BOEING","A75N1(PT17)","AIR","IWA","PHOENIX-MESA GATEWAY","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","","",
"ERA24LA006","ACC","193226","2023-10-10T22:30:00Z","Jonesboro","Georgia","United States","","N55162","FALSE","DirectorBrief","2024-07-24T04:00:00Z","Serious","0","2","0","Both pilots’ inadequate preflight inspection and inadequate fuel monitoring during the flight, which resulted in a total loss of engine power due to fuel exhaustion.","","33.474722","-84.373611","PIPER","PA28","AIR","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193226","7/24/2024 5:00:00 PM",
"CEN24LA009","ACC","193221","2023-10-09T19:25:00Z","Crandall","Texas","United States","","D-OGBL","FALSE","DirectorBrief","2024-06-28T04:00:00Z","Serious","0","2","0","The pilot-in-command’s inadequate descent planning that resulted in the balloon contacting power lines shortly after landing and an explosion of hydrogen gas.","","32.64716","-96.46716","Ballonbau Wörner GmbH","NL-STU/1000","BALL","","","FALSE","","","ASHO","091","Substantial","VMC","Global Ballooning Sl d.o.o.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193221","6/28/2024 5:00:00 PM",
"WPR24LA008","ACC","193214","2023-10-09T11:55:00Z","Caldwell","Idaho","United States","","N838SH","FALSE","DirectorBrief","2023-12-07T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing, resulting in a roll over.","","43.62","-116.72","ROBINSON HELICOPTER","R22 BETA","HELI","KEUL","Caldwell Executive","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193214","12/7/2023 6:00:00 PM",
"CEN24LA007","ACC","193218","2023-10-09T11:14:00Z","Peyton","Colorado","United States","","N19173","FALSE","DirectorBrief","2023-12-21T05:00:00Z","Minor","0","0","1","The pilot’s excessive brake application during landing rollout led to the airplane nosing over.","","38.948471","-104.57189","FAIRCHILD","24 G","AIR","FLY","Meadow Lake Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","","",
"ERA24LA004","ACC","193209","2023-10-08T16:45:00Z","Georgetown","Kentucky","United States","","N27MW","FALSE","DirectorBrief","2024-01-25T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane during the landing roll in gusting a gusting crosswind, resulting in a runway excursion and nose over.","","38.234434","-84.434684","MICHAEL J WRIGHT","SA300","AIR","27K","Georgetown-Scott County","TRUE","1","","PERS","091","Unknown","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193209","1/25/2024 6:00:00 PM",
"CEN24LA008","ACC","193219","2023-10-08T13:30:00Z","Warrenton","Missouri","United States","","N211BL","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the touch-and-go landing. Contributing was the pilot’s decision to land with a quartering tailwind.","","38.781057","-91.163278","CUBCRAFTERS INC","CC11-160","AIR","MU18","STARK","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193219","6/21/2024 5:00:00 PM",
"WPR24LA011","ACC","193228","2023-10-08T08:15:00Z","Albuquerque","New Mexico","United States","","N105BM","FALSE","DirectorBrief","2024-01-10T05:00:00Z","Serious","0","1","0","The pilot’s failure to control the balloon’s descent rate during a landing in windy conditions, which resulted in a passenger sustaining a broken ankle.","","35.163563","-106.62832","CAMERON BALLOONS US","A-105","BALL","","","FALSE","0","","PERS","091","None","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193228","1/10/2024 6:00:00 PM",
"ERA24LA005","ACC","193224","2023-10-07T20:30:00Z","Harrisonburg","Virginia","United States","","N13BF","FALSE","DirectorBrief","2024-02-29T05:00:00Z","None","0","0","0","The pilot’s inadequate compensation for the prevailing wind conditions, which resulted in a loss of control and subsequent runway excursion.","","38.263833","-78.896444","AVIAT AIRCRAFT INC","A-1C-180","AIR","SHD","SHENANDOAH VALLEY RGNL","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193224","2/29/2024 6:00:00 PM",
"ANC24LA001","ACC","193231","2023-10-07T17:30:00Z","Beluga","Alaska","United States","","N2129P","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s loss of control after failing to determine wind direction during landing in variable, gusting wind conditions.","","61.496667","-151.90388","NATHAN A REHAK","CAW-12","AIR","","","TRUE","1","","UNK","091","Substantial","Unknown","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193231","6/28/2024 5:00:00 PM",
"CEN24LA025","ACC","193309","2023-10-06T16:30:00Z","Riesel","Texas","United States","","N2444H","FALSE","DirectorBrief","2023-11-16T05:00:00Z","None","0","0","0","An in-flight collision with a bird.","","31.429098","-96.982644","CESSNA","172R","AIR","CNW","","FALSE","1","","INST","091","Substantial","VMC","Texas State Technical College","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193309","11/16/2023 6:00:00 PM",
"WPR24LA007","ACC","193200","2023-10-05T11:00:00Z","South Lake Tahoe","California","United States","","N531SL","FALSE","DirectorBrief","2024-06-06T04:00:00Z","None","0","0","0","The pilot’s loss of directional control during landing roll, which resulted in a ground loop and collision with terrain.","","38.896058","-119.99453","SCOTT AND LAURA HOISINGTON","CCX-2000","AIR","TVL","LAKE TAHOE","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193200","6/6/2024 5:00:00 PM",
"ERA24LA013","ACC","193275","2023-10-05T08:00:00Z","Chesterfield","Virginia","United States","","N143TU","FALSE","DirectorBrief","2024-02-20T05:00:00Z","","0","0","0","A hard landing that resulted in substantial damage to the airplane’s right wing.","","37.407152","-77.525596","COSTRUZIONI AERONAUTICHE TECNA","P2010","AIR","FCI","RICHMOND EXEC-CHESTERFIELD COUNTY","FALSE","1","","UNK","091","Substantial","Unknown","WING NUTS FLYING CLUB LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193275","2/22/2024 6:00:00 PM",
"WPR24LA006","ACC","193195","2023-10-03T07:05:00Z","Phoenix","Arizona","United States","","N27MU","FALSE","DirectorBrief","2024-05-29T04:00:00Z","Serious","0","2","5","The pilot’s improper landing flare, which resulted in a hard landing.","","33.773384","-112.16635","ULTRAMAGIC SA","N-300","BALL","","","FALSE","0","","AOBV","091","None","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193195","5/29/2024 5:00:00 PM",
"ERA24LA002","ACC","193186","2023-10-02T19:15:00Z","Gallipolis","Ohio","United States","","N7461W","FALSE","DirectorBrief","2023-12-21T05:00:00Z","None","0","0","0","A collapse of the nose landing gear during landing, which resulted in a runway excursion and collision with an approach lighting system.","","38.834111","-82.16343","PIPER","PA-28-180","AIR","GAS","GALLIA-MEIGS RGNL","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","","",
"CEN24LA005","ACC","193183","2023-10-02T15:57:00Z","Cahokia Heights","Illinois","United States","","N354MH","FALSE","DirectorBrief","2024-05-03T04:00:00Z","None","0","0","0","The student pilot’s failure to maintain helicopter control which resulted in impact with the ground.","","38.576285","-90.165069","HELICOPTERES GUIMBAL","CABRI G2","HELI","CPS","St. Louis Downtown Airport","FALSE","1","","INST","091","Substantial","VMC","Ideal Aviation","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193183","5/3/2024 5:00:00 PM",
"CEN24LA001","ACC","193173","2023-10-01T14:30:00Z","Waupaca","Wisconsin","United States","","N1963F","FALSE","DirectorBrief","2023-11-09T05:00:00Z","Serious","0","2","0","The pilot’s failure to maintain directional control during the go-around, that resulted in a runway excursion and an impact with terrain.","","44.333337","-89.031999","BEECH","23","AIR","PCZ","WAUPACA MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193173","11/9/2023 6:00:00 PM",
"ERA23LA385","ACC","193169","2023-09-30T16:05:00Z","Port Clinton","Ohio","United States","","N34PL","FALSE","DirectorBrief","2023-12-21T05:00:00Z","Minor","0","0","1","The pilot’s failure to detect and avoid unmarked powerline(s) while attempting to take off from a river.","","41.508993","-83.023902","CESSNA","T206","AIR","N/A","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","","",
"ERA23LA383","ACC","193164","2023-09-30T15:10:00Z","Towanda","Pennsylvania","United States","","N747UC","FALSE","DirectorBrief","2024-07-24T04:00:00Z","None","0","0","0","A total loss of engine power during initial climb for undetermined reasons.","","41.774","-76.4557","CESSNA","182","AIR","N27","Bradford County Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193164","7/24/2024 5:00:00 PM",
"ERA23LA386","ACC","193170","2023-09-30T12:00:00Z","Greensboro","Georgia","United States","","N9522L","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from a light pole during taxi.","","33.59797","-83.13826","CESSNA","172","AIR","CPP","Greene County Regional airport","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193170","11/9/2023 6:00:00 PM",
"ERA23LA387","ACC","193172","2023-09-29T08:10:00Z","Liberty","South Carolina","United States","","N557JM","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the takeoff roll which resulted in a runway excursion and substantial damage to the left wing and left horizontal stabilizer.","","34.813474","-82.698247","JOHN W MOLL","Vans RV-7","AIR","LQK","PICKENS COUNTY","TRUE","1","","FLTS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193172","11/9/2023 6:00:00 PM",
"WPR23LA361","ACC","193193","2023-09-28T16:07:00Z","Madera","California","United States","","N126GM","FALSE","DirectorBrief","2024-05-06T04:00:00Z","Minor","0","0","1","An emergency landing on uneven terrain that resulted in the loss of directional control during landing.","","36.941333","-119.9908","GLEIM JAMES M","MG-1","AIR","","","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193193","5/6/2024 5:00:00 PM",
"CEN23LA426","ACC","193178","2023-09-28T06:31:00Z","Boerne","Texas","United States","","N71804","FALSE","DirectorBrief","2024-02-01T05:00:00Z","Minor","0","0","1","The pilot’s failure to maintain directional control during the landing roll.","","29.725149","-98.694158","LUSCOMBE","8A","AIR","5C1","Boerne Stage Airfield","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193178","2/1/2024 6:00:00 PM",
"WPR23LA359","ACC","193159","2023-09-27T15:30:00Z","San Diego","California","United States","","N9128K","FALSE","DirectorBrief","2023-12-13T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing in gusty wind conditions that resulted in a ground loop.","","32.826222","-116.97244","STINSON","108-1","AIR","SEE","GILLESPIE FLD","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193159","12/13/2023 6:00:00 PM",
"WPR23LA358","ACC","193157","2023-09-27T14:10:00Z","Salt Lake City","Utah","United States","","N190BM","FALSE","DirectorBrief","2023-12-07T05:00:00Z","None","0","0","0","The student pilot’s failure to maintain directional control during landing.","","40.79","-111.96","CIRRUS DESIGN CORP","SR20","AIR","SLC","SALT LAKE CITY INTL","FALSE","1","","INST","091","Substantial","VMC","Elevate Aviation","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193157","12/7/2023 6:00:00 PM",
"WPR23LA357","ACC","193154","2023-09-27T11:15:00Z","Redding","California","United States","","N17274","FALSE","DirectorBrief","2023-12-07T05:00:00Z","None","0","0","0","The student pilot’s loss of airplane control during takeoff, which resulted in a bounced landing and impact with the airport’s windsock.","","40.508972","-122.29338","CESSNA","172R","AIR","RDD","REDDING MUNI","FALSE","1","","INST","091","Substantial","VMC","IASCO FLIGHT TRAINING INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193154","12/7/2023 6:00:00 PM",
"ERA23LA379","ACC","193148","2023-09-26T15:51:00Z","Sanford","Florida","United States","","N708WC","FALSE","DirectorBrief","2023-11-16T05:00:00Z","Minor","0","0","1","The pilot’s failure to maintain airplane control after an engine access cover opened during the initial climb.","","28.781715","-81.234602","DORR DAN W","SEQUOIA F.8L FALCO","AIR","SFB","ORLANDO SANFORD INTL","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193148","11/16/2023 6:00:00 PM",
"CEN23LA422","ACC","193147","2023-09-26T14:09:00Z","Welsh","Louisiana","United States","","N728NN","FALSE","DirectorBrief","2024-01-04T05:00:00Z","Minor","0","0","1","The pilot’s failure to maintain sufficient altitude from obstacles during the simulated landing approach which led to a collision with a fence and a building.","","30.186547","-92.834208","QUICKSILVER","SPORT II","AIR","none","","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193147","1/4/2024 6:00:00 PM",
"ANC23LA087","ACC","193194","2023-09-24T15:00:00Z","Beluga","Alaska","United States","","N169EZ","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s excessive application of brakes during landing that resulted in a nose over.","","61.23","-152.29","BELLANCA","7GCBC","AIR","9AK3","Nikolai Creek","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193194","6/28/2024 5:00:00 PM",
"ANC23LA086","ACC","193153","2023-09-24T09:30:00Z","Trimble River Valley","Alaska","United States","","N2586R","FALSE","DirectorBrief","2024-04-04T04:00:00Z","None","0","0","0","The pilot’s selection of unsuitable terrain for landing, which resulted in the left main landing gear (MLG) tire impacting a rock, resulting in the separation of the MLG wheel, and the subsequent loss of directional control.","","61.77516","-152.15263","CESSNA","182K","AIR","","Trimble River","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193153","4/4/2024 5:00:00 PM",
"CEN23LA418","ACC","193123","2023-09-23T19:14:00Z","Gonzales","Texas","United States","","N18994","FALSE","DirectorBrief","2024-05-14T04:00:00Z","Minor","0","0","1","The loss of engine power during go-around due to a failed muffler flame tube, which resulted in an exhaust blockage. Contributing to the accident was maintenance personnel's inadequate inspection of the exhaust system during the most recent maintenance.","","29.525311","-97.457816","BEECH","C23","AIR","T20","ROGER M DREYER MEML","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193123","5/9/2024 5:00:00 PM",
"CEN23LA417","ACC","193122","2023-09-23T10:45:00Z","Chesterfield","Missouri","United States","","N2242N","FALSE","DirectorBrief","2024-05-14T04:00:00Z","None","0","0","0","The partial retraction of the right main and nose landing gear during landing rollout for undetermined reasons.","","38.66516","-90.659437","PIPER","PA-28RT-201","AIR","SUS","SPIRIT OF ST LOUIS","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193122","5/9/2024 5:00:00 PM",
"WPR23LA356","ACC","193152","2023-09-22T16:00:00Z","Eatonville","Washington","United States","","N7955H","FALSE","DirectorBrief","2023-12-21T05:00:00Z","None","0","0","0","The pilot's failure to maintain directional control during the takeoff roll, in gusty wind conditions, which resulted in a runway excursion.","","46.871667","-122.25722","PIPER","PA-12","AIR","2W3","Swanson Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","","",
"CEN23LA421","ACC","193143","2023-09-22T07:30:00Z","Midland","Texas","United States","","N391SP","FALSE","DirectorBrief","2024-02-01T05:00:00Z","None","0","0","0","The student pilot’s improper landing flare, which resulted in a hard, bounced landing, and the nose landing gear collapse.","","32.036389","-102.10138","CESSNA","172S","AIR","MDD","Midland Airpark","FALSE","1","NSCH","INST","091","Substantial","VMC","FLORIS FLIGHT SERVICES LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193143","2/1/2024 6:00:00 PM",
"ERA23LA377","ACC","193120","2023-09-21T18:50:00Z","Bucyrus","Ohio","United States","","N2067Q","FALSE","DirectorBrief","2023-12-21T05:00:00Z","Serious","0","1","0","The balloon pilot’s bounced landing, which resulted in the basket tipping over and a serious injury to a passenger.","","40.870927","-82.902091","AVIAN BALLOON","SKYHAWK","BALL","None","","FALSE","1","","PERS","091","Minor","VMC","","Completed","FALSE","","",
"WPR23LA353","ACC","193142","2023-09-21T14:00:00Z","Monument Valley","Utah","United States","","N63130","FALSE","DirectorBrief","2023-12-07T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control after encountering a wind gust on the landing roll, which resulted in a ground loop.","","37.016667","-110.20068","CESSNA","180K","AIR","UT25","Monument Valley AIrport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193142","12/7/2023 6:00:00 PM",
"CEN23LA416","ACC","193121","2023-09-21T09:55:00Z","Montrose","Colorado","United States","","N5460Q","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing roll with a gusting quartering headwind.","","38.501476","-107.89478","CESSNA","150L","AIR","MTJ","MONTROSE RGNL","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193121","11/9/2023 6:00:00 PM",
"ENG23LA045","INC","193675","2023-09-21T08:00:00Z","Linden","New Jersey","United States","","N406TD","FALSE","DirectorBrief","2024-06-28T04:00:00Z","","0","0","0","The fracture of the upper-left tail boom attachment bolt due to abnormal loading of the bolt caused by a gap and misalignment between the upper-left longeron and the tail boom. Contributing to this incident was the lack of a check to verify the absence of gaps or misalignments at the conclusion of installation for the upper-left longeron.","","40.616379","-74.242562","BELL","407","HELI","","","FALSE","","","UNK","UNK","None","Unknown","Helicopter Flight Services Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193675","6/28/2024 9:00:00 PM",
"ANC23LA084","ACC","193128","2023-09-20T12:00:00Z","Bethel","Alaska","United States","","N8192D","FALSE","DirectorBrief","2024-04-04T04:00:00Z","None","0","0","0","The pilot’s excessive use of brakes during landing roll, which resulted in a nose-over.","","60.15","-160.08","PIPER","PA-18-150","AIR","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193128","4/4/2024 5:00:00 PM",
"ERA23LA381","ACC","193158","2023-09-19T13:15:00Z","Erwinna","Pennsylvania","United States","","N46Y","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain control of the airplane while taking off in a crosswind.","","40.48427","-75.099616","BOEING","B75","AIR","9N1","VANSANT","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193158","11/9/2023 6:00:00 PM",
"ERA23LA375","ACC","193093","2023-09-18T09:15:00Z","Winston-Salem","North Carolina","United States","","N1451U","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s loss of directional control upon landing which resulted in substantial damage to the left wing and left horizontal stabilizer.","","36.138127","-80.22637","CESSNA","172","AIR","INT","SMITH REYNOLDS","FALSE","1","","INST","091","Substantial","VMC","PIEDMONT FLIGHT INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193093","11/9/2023 6:00:00 PM",
"CEN23LA420","ACC","193125","2023-09-17T13:00:00Z","South Saint Paul","Minnesota","United States","","N6398G","FALSE","DirectorBrief","2024-04-12T04:00:00Z","None","0","0","0","The pilot’s inadvertent brake application during takeoff which resulted in a loss of directional control and runway excursion. Contributing to the accident was the pilot’s improper seat position.","","44.858627","-93.034811","CESSNA","150K","AIR","KSGS","South St. Paul Municipal Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193125","4/12/2024 5:00:00 PM",
"ERA23LA373","ACC","193076","2023-09-17T11:20:00Z","Hudson","Massachusetts","United States","","SE-BMA","FALSE","DirectorBrief","2024-07-24T04:00:00Z","None","0","0","0","A total loss of engine power for undetermined reasons.","","42.389893","-71.51776","Liore et Oliver","Nieuport 28","AIR","N/A","Private","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193076","7/24/2024 5:00:00 PM",
"ANC23LA082","ACC","193105","2023-09-16T17:35:00Z","Fairbanks","Alaska","United States","","N713C","FALSE","DirectorBrief","2024-04-04T04:00:00Z","None","0","0","0","The pilot’s encounter with windshear during initial climb out, which resulted in a loss of control.","","67.4381","-147.7772","HELIO","H-295","AIR","","","FALSE","1","NSCH","BUS","135","Substantial","VMC","WRIGHT AIR SERVICE INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193105","4/4/2024 5:00:00 PM",
"ANC23LA078","ACC","193088","2023-09-16T16:00:00Z","NENANA","Alaska","United States","","N907W","FALSE","DirectorBrief","2024-07-24T04:00:00Z","None","0","0","0","A total loss of engine power due to fuel starvation. Contributing was the owner/builder’s inadequate maintenance.","","64.650753","-149.83691","RHODES STEVEN D","SR3500","AIR","","","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193088","7/24/2024 5:00:00 PM",
"WPR23LA346","ACC","193090","2023-09-16T14:50:00Z","Apple","Idaho","United States","","N46WR","FALSE","DirectorBrief","2024-07-02T04:00:00Z","Minor","0","0","1","Fuel starvation due to the pilot’s incorrect movement of the fuel selector valve to OFF, which resulted in a loss of engine power.","","47.91807","-116.63943","AERONCA","11AC","AIR","","","FALSE","","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193090","7/2/2024 5:00:00 PM",
"ANC23LA085","ACC","193130","2023-09-16T10:10:00Z","Johnson River","Alaska","United States","","N297SH","FALSE","DirectorBrief","2024-05-03T04:00:00Z","Serious","0","1","0","The ground crew’s failure to remain clear of a tag line during sling load operations, resulting in his entanglement.","","60.15","-152.9","EUROCOPTER","AS 350 B3","HELI","","","FALSE","1","NSCH","EXLD","133","None","VMC","Soloy Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193130","5/3/2024 5:00:00 PM",
"ANC23LA083","ACC","193106","2023-09-15T18:30:00Z","McGrath","Alaska","United States","","N1755P","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during after encountering a wind gust during landing that resulted in an impact with terrain.","","62.946312","-155.52845","PIPER","PA-18-150","AIR","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193106","6/28/2024 5:00:00 PM",
